zipcode,bldgtype,eui,wui,ghg,ess,electricity,natural_gas,gfa,year
10452,Multifamily Housing,174.4,42.01,6.88,6.0,1394464.7,5445206.5,60000.0,1916
10455,Multifamily Housing,144.6,57.99,5.61,23.0,1197440.3,4463753.0,61200.0,1920
10030,Multifamily Housing,117.1,68.76,4.47,53.0,1807986.1,5665497.2,103248.0,1910
10023,Residence Hall/Dormitory,208.2,107.85,9.4,46.0,2849914.2,888350.0,75000.0,1928
11218,Senior Care Community,257.1,132.62,9.48,23.0,4373054.6,12634883.5,111667.0,1968
11234,Multifamily Housing,140.4,98.69,5.42,41.0,1781106.3,5629551.0,84368.0,1950
11210,Multifamily Housing,121.8,97.0,5.01,66.0,1628687.8,8752089.7,121664.0,1961
10022,Office,275.6,19.9,8.72,47.0,11405956.7,2314843.8,151559.0,1958
11229,Multifamily Housing,98.9,44.04,4.35,73.0,279688.6,2330848.0,34176.0,1930
10065,Hotel,138.0,48.29,6.11,58.0,2657265.6,66800.0,98495.0,1963
10065,Hotel,331.1,89.87,12.53,20.0,9981874.2,3293070.0,130000.0,1926
10022,Hotel,234.3,52.92,8.72,60.0,7176391.8,2175900.0,157462.0,1927
10016,Office,123.5,18.77,3.89,86.0,2119091.6,885458.8,60450.0,1915
10010,Office,180.9,32.96,5.71,70.0,6231409.5,2757356.7,122330.0,1908
10024,Multifamily Housing,95.7,32.98,4.74,80.0,2435451.8,369503.1,172225.0,1924
10011,Office,225.0,4.76,6.82,41.0,3160840.4,1272393.4,51000.0,1920
10065,Office,143.3,57.59,4.61,70.0,2529282.2,1804087.6,69400.0,1930
10018,Office,138.9,10.86,5.49,76.0,1809051.4,101157.6,58909.0,1910
10007,Office,129.9,13.85,4.67,92.0,9021530.9,1306.5,270564.0,1904
10014,Office,127.2,15.01,4.33,93.0,12433979.8,1040277.4,370000.0,1929
10018,Office,166.1,28.13,5.9,85.0,10496968.3,2042283.8,246547.0,1929
10001,Office,141.0,33.64,4.88,92.0,2711663.3,4337351.6,96426.0,1926
11230,Office,94.5,451.25,3.23,98.0,884837.4,1140600.0,43000.0,1996
11234,Non-Refrigerated Warehouse,111.3,6.34,3.68,16.0,1042942.6,1030300.0,40000.0,1960
10014,Multifamily Housing,128.2,15.77,4.03,23.0,2363726.5,1367886.7,70038.0,2013
10016,Multifamily Housing,139.1,3.02,5.9,26.0,3090095.4,265056.5,177350.0,1965
10003,Multifamily Housing,191.8,67.25,10.58,4.0,11761819.2,2684900.2,461959.0,1950
10128,Multifamily Housing,170.7,42.67,6.39,6.0,3116179.6,7415900.1,104951.0,1971
10036,Office,172.5,26.97,5.47,83.0,14974585.4,0.0,299552.0,1917
11101,Non-Refrigerated Warehouse,71.6,0.33,2.34,66.0,1306678.8,1341303.6,80000.0,1931
10016,Office,255.4,46.39,7.48,40.0,5438875.1,460030.3,67751.0,1918
10001,Residence Hall/Dormitory,131.8,106.77,4.91,74.0,2549446.4,170100.0,97000.0,1980
10001,Residence Hall/Dormitory,192.8,42.1,7.36,42.0,12638048.3,26182500.3,350000.0,1970
11230,Multifamily Housing,92.2,49.54,4.27,84.0,149568.4,5255299.8,68400.0,1935
11355,Multifamily Housing,154.7,71.29,7.04,19.0,157347.8,6957203.3,54491.0,1928
11101,Office,56.8,75.91,2.36,98.0,327142.5,2318463.8,64358.0,1931
11226,Multifamily Housing,112.8,76.92,4.49,82.0,1144215.7,5781979.7,91000.0,1921
10018,Office,126.0,12.0,4.33,89.0,14669114.3,447315.1,426287.0,1930
10023,Multifamily Housing,210.2,77.87,8.2,24.0,4939857.6,17237263.6,165000.0,1926
10021,Medical Office,117.8,18.88,4.6,84.0,1249628.6,27565.4,67500.0,1915
11218,Multifamily Housing,138.4,90.57,5.76,46.0,384830.9,2705099.9,30850.0,1931
11219,Multifamily Housing,171.5,58.62,6.99,2.0,732340.1,3963600.1,39400.0,1924
11215,Multifamily Housing,107.0,45.57,4.2,82.0,534041.7,2209199.9,39261.0,1920
11210,Multifamily Housing,128.5,117.12,5.27,56.0,630207.9,3265499.8,43500.0,1931
11356,Non-Refrigerated Warehouse,123.6,4.13,4.1,10.0,2964407.5,3314893.6,107000.0,1941
11201,Office,171.0,0.3,5.53,82.0,5479176.6,4333536.5,129520.0,1900
11201,Office,130.2,21.44,6.49,93.0,539760.8,29505284.2,249000.0,1953
11367,Multifamily Housing,131.8,43.1,5.42,67.0,1019809.1,6462417.7,80000.0,1965
10014,Multifamily Housing,107.1,22.4,3.74,71.0,660555.1,1096700.0,31221.0,1907
10021,Multifamily Housing,105.2,29.22,4.7,84.0,1498127.8,152116.1,145000.0,1962
10468,Multifamily Housing,109.6,61.12,4.41,75.0,1337045.8,6546406.6,105846.0,1925
10468,Multifamily Housing,106.8,25.39,4.36,57.0,751036.3,4621916.5,71550.0,1926
10029,Multifamily Housing,129.7,0.96,4.95,61.0,1908736.9,5492983.4,93170.0,1985
10002,Multifamily Housing,92.2,67.48,3.63,91.0,2533789.8,9620782.1,202618.0,1900
10030,Multifamily Housing,84.6,55.51,3.37,96.0,554269.4,3040448.3,62459.0,1903
10033,Multifamily Housing,89.7,39.66,3.05,85.0,951127.4,1310875.8,50535.0,2007
10019,Multifamily Housing,61.8,69.47,1.88,100.0,4913529.8,1592697.0,276663.0,1981
10025,Multifamily Housing,139.5,92.93,5.47,42.0,840388.5,3403286.4,46667.0,1920
11213,Multifamily Housing,62.7,49.32,2.31,99.0,818323.6,1918991.0,75548.0,1930
10025,Multifamily Housing,118.4,38.22,4.78,74.0,1382530.9,7330017.0,107120.0,1920
10025,Multifamily Housing,123.4,41.92,5.02,65.0,1387137.1,7888563.8,107869.0,1926
10452,Multifamily Housing,137.1,70.37,5.36,54.0,1608558.1,5724202.9,83268.0,1991
10452,Multifamily Housing,166.4,81.13,6.53,36.0,1146689.2,5506839.6,60402.0,1924
10452,Multifamily Housing,128.4,66.96,5.18,66.0,831468.9,3938763.8,54572.0,1924
10452,Multifamily Housing,146.6,65.19,5.69,54.0,1639797.5,6340213.1,84801.0,1926
10452,Multifamily Housing,108.9,57.11,4.28,87.0,676989.3,3081526.6,52221.0,1926
10452,Multifamily Housing,170.2,84.59,6.79,29.0,1277825.7,6184923.6,65057.0,1926
10452,Multifamily Housing,131.3,47.82,5.28,65.0,774194.1,4067850.2,53965.0,1926
10474,Non-Refrigerated Warehouse,53.1,6.32,2.14,71.0,199465.5,1802499.7,53000.0,1910
10003,Office,108.0,22.94,3.83,98.0,3975247.6,427418.4,145000.0,1909
10004,Office,154.4,40.62,4.73,82.0,9915936.4,3983124.9,237000.0,1902
11213,Multifamily Housing,109.8,42.67,3.98,68.0,1491445.4,3355168.6,77980.0,2009
11101,Office,288.1,31.09,9.73,22.0,4285903.6,1283283.3,54500.0,1950
11235,Multifamily Housing,93.9,33.89,3.99,81.0,625741.7,4606593.0,77863.0,1937
10457,Multifamily Housing,155.6,77.16,8.55,14.0,1023454.8,640503.2,63600.0,1956
10016,Hotel,315.5,107.57,10.17,2.0,11350084.2,8406252.7,142851.0,1902
11101,Office,336.7,12.49,10.85,6.0,9557239.5,6292652.3,108880.0,2010
10075,Multifamily Housing,139.6,36.34,4.66,38.0,6917677.1,7536593.4,217368.0,1960
10018,Office,138.4,10.26,5.34,92.0,4018916.7,1057.6,121817.0,1928
10037,Multifamily Housing,125.6,37.16,6.66,76.0,4194502.7,987373.6,280358.0,1958
10022,Office,128.8,10.37,4.26,93.0,6041210.9,6346541.2,204923.0,1927
10011,Office,167.7,13.01,5.32,78.0,6795007.4,21180.0,140230.0,1904
10037,Multifamily Housing,130.7,52.4,7.03,71.0,4125832.6,1060282.3,280358.0,1958
10037,Multifamily Housing,129.6,38.17,6.85,73.0,4336110.1,905720.6,280358.0,1958
10452,Multifamily Housing,100.6,69.19,4.06,75.0,1452088.3,7112688.3,124800.0,1964
11208,K-12 School,202.3,7.44,6.54,14.0,2974519.5,2259919.3,58700.0,2009
10458,Multifamily Housing,178.3,78.05,11.08,3.0,577277.2,231928.1,40500.0,1925
10031,Multifamily Housing,150.9,66.25,8.47,21.0,732451.0,283309.9,58000.0,1920
10037,Multifamily Housing,111.8,34.61,4.71,83.0,3937523.4,18279503.6,280358.0,1958
10453,Multifamily Housing,144.3,77.3,8.6,17.0,870865.3,520119.1,64800.0,1935
10458,Multifamily Housing,118.1,50.45,4.9,53.0,762091.7,4873359.1,66600.0,1954
10453,Multifamily Housing,156.9,57.48,8.98,15.0,732861.7,362765.8,57000.0,1935
10453,Multifamily Housing,147.3,78.17,6.28,15.0,972045.2,5115480.5,57000.0,1950
10128,Multifamily Housing,202.4,37.95,8.74,3.0,10321736.9,233018.2,233100.0,1991
10013,Hotel,308.5,73.34,10.13,42.0,9587719.8,8127702.9,126529.0,2010
11373,Multifamily Housing,154.2,97.75,6.31,19.0,1766385.4,9180818.2,104449.0,1962
11373,Multifamily Housing,91.9,71.94,3.81,81.0,873132.4,4503897.9,89046.0,1956
10463,Multifamily Housing,95.8,27.57,3.92,82.0,1083112.9,6733000.3,115847.0,1955
10463,Multifamily Housing,113.9,135.46,4.55,60.0,1058213.8,5599173.5,86000.0,1941
10024,Multifamily Housing,90.5,47.3,3.48,80.0,3158537.4,9934252.8,232272.0,1983
10033,Multifamily Housing,115.8,80.91,5.35,85.0,115914.3,3568961.4,41170.0,1909
10033,Multifamily Housing,112.4,104.19,5.0,91.0,202282.0,4012730.2,46182.0,1920
10033,Multifamily Housing,119.3,131.37,5.33,87.0,145483.3,4394481.8,46182.0,1920
10033,Multifamily Housing,123.2,109.15,5.54,80.0,163267.2,4308290.8,43932.0,1920
10019,Hotel,197.6,100.99,7.29,51.0,1725570.4,4609639.4,54568.0,1940
10024,Hotel,179.1,173.79,7.54,66.0,1853506.2,14101341.6,121147.0,1910
10036,Hotel,288.3,72.23,10.93,13.0,16640948.1,3821600.0,293966.0,2000
10016,Office,170.2,17.39,6.02,85.0,5520785.6,854652.9,125630.0,1914
10032,Multifamily Housing,125.3,75.33,6.91,54.0,541251.1,184532.3,34320.0,1900
10001,Hotel,306.3,104.78,10.34,19.0,13867144.2,13447178.0,187893.0,1904
10036,Hotel,255.3,94.09,8.76,56.0,2940325.1,3759696.8,52575.0,1900
10019,Hotel,249.0,70.44,8.75,41.0,14602922.8,1462800.0,262051.0,1984
10013,Office,201.1,15.62,6.03,91.0,8041810.6,2477099.9,140000.0,2004
10036,Office,225.9,40.91,6.55,77.0,15789371.9,1710299.9,227685.0,1913
11208,Distribution Center,97.1,6.08,2.76,33.0,919203.0,23508.7,30000.0,1960
11208,Non-Refrigerated Warehouse,148.8,2.11,5.25,34.0,1857629.3,3426200.1,66000.0,1960
11355,Non-Refrigerated Warehouse,148.3,11.22,4.69,44.0,6749949.1,2630100.1,170000.0,1962
10461,Office,167.5,9.82,5.27,91.0,6836283.0,3849929.0,153816.0,1981
10458,Multifamily Housing,97.9,51.4,3.95,85.0,435756.8,2538893.9,43950.0,1952
10452,Multifamily Housing,103.4,89.74,4.72,88.0,357323.9,1718687.9,31500.0,1927
10011,Multifamily Housing,154.3,57.13,5.64,24.0,1087460.3,2302072.1,38758.0,1959
10453,Multifamily Housing,139.1,79.3,5.35,34.0,1386474.3,4425875.9,66874.0,2008
10021,Multifamily Housing,112.6,70.98,5.34,85.0,268224.8,67712.1,52560.0,1960
11201,Office,135.3,20.76,4.69,90.0,2961940.7,4760758.4,110000.0,1917
11106,Office,206.0,34.75,6.44,55.0,3197634.5,1675100.2,57820.0,1914
10011,Office,133.4,11.44,5.11,91.0,5146874.7,2206.3,164609.0,1930
10001,Office,150.3,12.23,5.18,91.0,10616773.0,828041.4,263139.0,1926
10075,Multifamily Housing,90.8,65.76,4.19,89.0,407987.2,1601861.3,79494.0,1976
10011,Multifamily Housing,156.8,32.61,5.05,2.0,2226570.8,1867096.8,58700.0,2007
10011,Multifamily Housing,206.3,21.71,7.27,2.0,2365172.0,3841486.6,56876.0,2008
10010,Office,132.2,31.45,5.16,84.0,1122616.6,391335.3,40003.0,1902
10001,Office,113.4,22.06,4.78,94.0,1651244.4,993.3,64000.0,1909
11209,Multifamily Housing,54.4,22.36,1.92,96.0,3310988.9,4440462.0,275892.0,1920
10014,Office,207.7,20.26,6.64,76.0,22368727.7,15292388.6,420972.0,1919
11385,Distribution Center,58.7,0.02,2.05,67.0,616209.6,1304300.1,60376.0,1950
10462,Multifamily Housing,227.3,7792.21,9.24,1.0,1983306.4,9214992.6,72000.0,1930
10462,Multifamily Housing,156.8,129.67,6.48,37.0,1026954.1,6861979.3,70296.0,1928
11385,Distribution Center,62.7,0.0,2.4,63.0,376668.8,1797600.1,53660.0,1920
10016,Office,192.6,41.74,7.68,70.0,2424605.7,1875650.0,58500.0,1911
10011,Office,133.2,22.33,5.25,84.0,2964214.6,6763.3,90000.0,1911
10001,Office,189.4,20.34,5.9,75.0,8231315.5,3559866.4,155827.0,1925
11106,Multifamily Housing,112.4,131.01,7.01,75.0,172541.4,811400.0,70800.0,1930
10014,Office,142.7,40.76,4.31,83.0,5494302.7,1363667.8,129835.0,1905
10019,Multifamily Housing,88.9,61.0,3.56,97.0,519247.6,1746984.9,39003.0,1954
10018,Office,116.3,20.47,4.74,93.0,2275165.7,848.4,81763.0,1945
10012,Office,123.3,0.84,3.86,97.0,2137921.5,1365153.3,67889.0,1900
11236,Non-Refrigerated Warehouse,163.5,3.26,4.87,7.0,4261633.8,1143156.5,90000.0,1940
10040,Multifamily Housing,141.5,128.61,5.69,33.0,1178084.2,5686380.2,71475.0,1920
11204,Multifamily Housing,148.9,57.36,6.5,19.0,430971.3,3883811.2,37600.0,1931
11235,Multifamily Housing,139.9,68.47,6.14,22.0,513950.9,4382543.8,45360.0,1946
11229,Multifamily Housing,178.2,91.15,8.15,4.0,266540.2,3880917.2,28200.0,1928
10036,Office,140.4,15.56,4.7,44.0,2218823.6,725.8,56036.0,1905
11218,Multifamily Housing,112.1,34.5,4.36,79.0,950470.7,3453116.1,61380.0,1963
11218,Multifamily Housing,110.0,37.07,4.44,86.0,816582.4,4332990.9,68112.0,1963
11218,Multifamily Housing,117.7,41.28,3.99,24.0,2404851.9,2984675.6,93258.0,2006
11106,Multifamily Housing,128.2,43.25,5.29,82.0,566591.2,3798596.9,47662.0,1930
11106,Multifamily Housing,112.7,29.93,4.6,79.0,1012807.2,6450616.6,93964.0,1940
11106,Multifamily Housing,107.3,28.16,4.32,84.0,995511.2,5982680.0,93964.0,1940
11209,Multifamily Housing,81.8,64.45,2.77,99.0,7314285.1,8965535.2,405951.0,1932
10023,Multifamily Housing,137.7,66.71,6.64,72.0,2445987.9,719865.6,115000.0,1913
11377,Multifamily Housing,158.6,72.46,6.04,37.0,1464472.8,4375071.8,60000.0,1963
11368,Multifamily Housing,163.0,78.36,6.14,19.0,2199637.2,6846207.4,91000.0,2003
10453,Multifamily Housing,114.4,83.99,4.28,73.0,1761981.3,4748586.6,95401.0,2012
11230,Multifamily Housing,100.6,41.57,4.07,79.0,1883784.6,9435260.7,164340.0,1941
10024,Multifamily Housing,116.7,62.9,4.79,51.0,714724.2,4284282.0,60749.0,1924
10001,Office,142.9,8.64,4.97,89.0,7147906.8,373170.0,189362.0,1925
11229,Multifamily Housing,133.3,56.32,5.3,45.0,1466160.9,6496713.4,89720.0,1958
11101,Multifamily Housing,109.7,30.27,3.53,58.0,1977047.2,1627626.7,74097.0,2005
11235,Multifamily Housing,102.1,49.21,4.08,88.0,764907.7,3143472.4,57596.0,1959
11201,Multifamily Housing,181.9,33.97,5.97,5.0,4393700.2,4928099.9,109121.0,2006
11223,Multifamily Housing,93.7,29.6,3.78,88.0,781275.7,3939605.1,73700.0,1954
10022,Office,178.3,40.79,5.53,80.0,17513322.1,643310.0,351590.0,1932
10010,Office,151.6,0.03,5.18,88.0,16792871.0,2984148.4,420582.0,1920
10018,Office,144.2,20.17,4.69,89.0,7820993.4,6345878.6,219730.0,1927
10032,Multifamily Housing,165.9,79.5,6.64,17.0,1765122.2,5589958.2,68310.0,1930
10018,Office,165.1,19.17,6.04,80.0,8579960.4,649551.7,205729.0,1925
10022,Hotel,220.9,67.45,6.43,59.0,23979610.8,2324400.0,350000.0,1990
10010,Office,199.6,51.65,7.07,72.0,6814754.1,2624685.8,138000.0,1911
11201,Multifamily Housing,146.7,28.45,6.4,5.0,8981801.0,31128587.7,455765.0,1929
11215,Office,141.7,9.44,4.96,80.0,1815593.5,2348643.1,57640.0,1968
10016,Office,196.0,25.15,7.47,69.0,5398944.7,903980.6,120000.0,1922
10016,Office,162.6,10.03,5.93,81.0,3007314.4,2476.5,75588.0,1910
